WBIC,WiscID,Name.x,County,lat,long,Type,mg_average,ca_average,unit
1884200,588,Street Lake,Vilas ,46.09599702,-89.70354479,seepage,0.375,0.65,mg
991000,398,Honeysuckle Lake,Vilas,45.9618971,-89.3620816,seepage,0.32,0.7,mg
2340100,694,Spruce Lake,Vilas,46.0532839,-89.5662573,seepage,0.23,0.73,mg
989200,396,Hemlock Lake,Oneida ,45.87658969,-89.65107952,seepage,0.25,0.8,mg
1003700,418,McDonald Lake,Vilas ,45.90561919,-89.39828044,seepage,0.263,0.808,mg
1863000,564,Loon Lake,Chippewa ,45.24740426,-91.46702096,seepage,0.44,0.82,mg
2761000,963,East Twin Lake,Bayfield ,46.68499869,-91.05755696,seepage,0.39,0.825,mg
2015500,592,"MAX LAKE NEAR WOODRUFF, WI",Vilas,46.0243949,-89.7098732,seepage,0.38,0.86,mg
976800,378,Chickaree Lake,Vilas ,45.90628476,-89.35819389,seepage,0.41,0.875,mg
2598300,836,Chain Lake,Douglas ,46.197113,-91.73720194,seepage,0.36,0.9,mg
1179000,448,Windowpane Lake,Oneida ,45.85059388,-89.79872376,seepage,0.28,0.933,mg
2017500,593,Crystal Bog,Vilas,46.007941,-89.606314,drainage,0.229,0.938,mg
1862100,562,Little Rock Lake,Vilas,45.99606187,-89.6993166,seepage,0.272100841,0.946777311,mg
1862100,1038,Little Rock Lake,Vilas,45.99606187,-89.6993166,seepage,0.272100841,0.946777311,mg
1842400,539,Crystal Lake,Vilas,45.999642,-89.610408,seepage,0.256,0.974,mg
1842400,540,Crystal Lake,Vilas ,46.00174574,-89.61301969,seepage,0.256,0.974,mg
2317900,675,Middle Sugarbush Lake,Vilas ,46.01806341,-89.91299196,seepage,0.33,0.98,mg
1023300,443,Trilby Lake,Vilas ,45.95676375,-89.69166814,seepage,0.25,1.002,mg
2734700,948,Lake Knotting,Bayfield ,46.27397611,-91.11554034,seepage,0.25,1.067,mg
2492900,810,Rock Lake,Douglas ,46.34313731,-91.6171267,seepage,0.5,1.09,mg
1522400,466,Swamp Lake,Oneida ,45.63741834,-89.78760856,drainage,0.5,1.1,mg
2501300,832,Thorn Lake,Douglas ,46.22503849,-91.65570396,seepage,0.375,1.145,mg
983300,389,Elna Lake,Oneida ,45.69317805,-89.56853735,seepage,0.349,1.182,mg
2452400,727,Beauregard Lake,Douglas ,46.34194718,-91.58978572,seepage,0.645,1.185,mg
1018900,436,Soo Lake,Oneida ,45.65354056,-89.54229,seepage,0.4265,1.186,mg
1007500,424,North Two Lakes,Oneida ,45.78557694,-89.60653812,seepage,0.274,1.189,mg
974700,377,Bullhead Lake,Oneida ,45.8843055,-89.71408273,seepage,0.3,1.19,mg
972000,375,Bird Lake,Oneida ,45.79775099,-89.6664863,seepage,0.288,1.226,mg
589400,248,Morgan Lake,Florence,45.7724593,-88.5462324,seepage,0.533,1.257,mg
589400,247,Morgan Lake,Florence,45.7724593,-88.5462324,seepage,0.533,1.257,mg
2757900,1030,Carlin Lake,Vilas,46.2,-89.77,seepage,0.33,1.26,mg
994400,402,Buteau Lake,Lincoln ,45.4394513,-89.47572802,seepage,0.35,1.273,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.325460785,1.27427451,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.316960785,1.27627451,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.316960785,1.27777451,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.352960785,1.31027451,mg
971600,374,Big Carr Lake,Oneida ,45.79092184,-89.62946191,seepage,0.282,1.338,mg
982500,388,Witches Lake,Vilas ,45.97856319,-89.59001876,seepage,0.375,1.375,mg
1009400,425,Paradise Lake,Oneida ,45.86146882,-89.43039738,seepage,0.5,1.4,mg
990700,397,Hodstradt Lake,Oneida ,45.80732083,-89.56353808,seepage,0.312,1.413,mg
981500,386,Duck Lake,Langlade ,45.38072111,-89.24739846,seepage,0.492,1.426,mg
981500,387,Duck Lake - Staff Gage,Langlade ,45.384106,-89.24992,seepage,0.492,1.426,mg
1023100,442,Townline Lake,Oneida ,45.64632587,-89.46348516,seepage,0.292,1.458,mg
2771200,976,Phantom Lake - Staff Gage,Bayfield ,46.493885,-91.29628,seepage,0.49,1.46,mg
2451700,724,Bass Lake,Douglas ,46.21575421,-91.8541031,seepage,0.54,1.485,mg
396700,195,Devils Lake,Forest,45.549964,-88.8334458,drainage,0.48,1.5,mg
389700,190,Little Sand Lake,Forest ,45.46998052,-88.91916868,drainage,0.66,1.515,mg
389700,189,Little Sand Lake,Forest,45.4632974,-88.919557,drainage,0.66,1.515,mg
2321800,677,Ike Walton Lake,Vilas ,46.03594392,-89.80624497,drainage,0.256,1.524,mg
1863200,565,Loon Lake,Washburn ,45.6862596,-91.61545963,seepage,0.68,1.54,mg
984800,392,Finley Lake,Vilas ,45.91046069,-89.4182174,seepage,0.573,1.569,mg
1015500,434,South Two Lakes,Oneida ,45.7767029,-89.61366941,seepage,0.262,1.57,mg
1004600,419,Mildred Lake,Oneida ,45.67551707,-89.53088879,seepage,0.312,1.575,mg
1001000,416,Long Lake,Lincoln ,45.4298374,-89.47729304,seepage,0.25,1.6,mg
2503500,834,Two Mile Lake,Douglas ,46.21568986,-91.80408832,seepage,0.6,1.61,mg
2766200,969,Lac du Lune,Vilas ,46.12934198,-89.38514885,seepage,0.257,1.647,mg
969600,373,Bass Lake,Lincoln,45.4235707,-89.4901266,seepage,0.375,1.65,mg
1010100,427,Pence Lake,Langlade ,45.30806392,-89.06180816,seepage,0.333,1.667,mg
2462400,747,East Twin Lake,Douglas ,46.35216282,-91.73292528,seepage,0.93,1.68,mg
585400,1032,Dewey Lake,Vilas,45.99,-89.03,seepage,0.5,1.7,mg
1000900,415,Long Lake,Langlade ,45.29851931,-89.20491337,seepage,0.6,1.725,mg
2470900,768,Island Lake,Douglas ,46.35360293,-91.76792849,seepage,0.62,1.73,mg
1020600,440,Sunday Lake,Oneida ,45.88887204,-89.854244,seepage,0.615,1.78,mg
2769700,974,Murphy Lake,Vilas ,46.26439405,-89.7738186,drainage,0.5,1.8,mg
574100,245,Bug Lake,Forest,45.57829696,-88.8265018,drainage,0.63,1.8,mg
967900,369,Alma Lake,Vilas,45.9071749,-89.4298607,seepage,0.726,1.8005,mg
2954700,1044,Red Bass Lake,Vilas,46.2,-89.66,seepage,0.676,1.81,mg
994700,403,Lake Clara,Lincoln,45.51662728,-89.5751328,seepage,0.602592593,1.897428571,mg
2954500,1009,Lynx Lake,Vilas ,46.19929618,-89.67222389,drainage,0.66,1.909,mg
994700,403,Lake Clara,Lincoln,45.51662728,-89.5751328,seepage,0.602925926,1.911761905,mg
994700,403,Lake Clara,Lincoln,45.51662728,-89.5751328,seepage,0.618888889,1.912142857,mg
994700,403,Lake Clara,Lincoln,45.51662728,-89.5751328,seepage,0.612592593,1.928428571,mg
2474800,777,Leesome Lake,Washburn ,45.77653516,-91.73338343,seepage,0.773,1.98,mg
1005800,422,Moon Lake,Vilas,45.91773035,-89.434861,seepage,0.799,1.9895,mg
2478600,783,Loon Lake,Barron ,45.46947221,-92.12892863,seepage,0.89,1.99,mg
406600,196,Whiteye Lake,Forest ,45.58360868,-88.99766347,drainage,0.78,2.04,mg
991900,400,Indian Lake,Langlade ,45.32388699,-89.21293801,seepage,0.8,2.05,mg
2493900,812,Round Lake,Douglas,46.22827509,-91.936299,seepage,0.567830508,2.126190476,mg
994700,403,Lake Clara,Lincoln,45.51662728,-89.5751328,seepage,0.645925926,2.158095238,mg
717400,277,Spectacle Lake,Vilas ,46.00522899,-89.02099272,seepage,0.574,2.22,mg
2599000,839,West Twin Lake,Douglas ,46.34586242,-91.73898596,seepage,0.9,2.26,mg
977500,379,Clear Lake,Oneida ,45.87031738,-89.62480011,seepage,0.669,2.361,mg
991700,399,Hunter Lake,Vilas ,46.00354657,-89.32210604,seepage,0.6,2.425,mg
2953800,1008,Annabelle Lake,Vilas ,46.21591009,-89.68317288,drainage,0.8,2.45,mg
2953800,1027,Annabelle Lake,Vilas,46.21591009,-89.68317288,drainage,0.8,2.45,mg
1022900,441,Towanda Lake,Vilas ,45.93855367,-89.70771713,seepage,1.095,2.5325,mg
1831700,527,Adelade Lake,Vilas ,46.24742526,-89.89967948,drainage,0.832,2.677,mg
968800,371,Anvil Lake,Vilas,45.95013889,-89.05425,seepage,1.42,2.78,mg
968800,372,Anvil Lake,Vilas ,45.94340244,-89.0639014,seepage,1.42,2.78,mg
2598600,838,Viola Lake,Burnett ,45.81781882,-92.25134415,seepage,0.98,2.79,mg
1018500,435,Snipe Lake,Vilas ,45.93961272,-89.36540027,seepage,0.924,2.893,mg
1018300,1046,Smoky Lake,Vilas,46.09,-88.94,seepage,1.082,2.976,mg
993800,401,Kimball Lake,Langlade ,45.28971339,-89.16168608,seepage,1.4,3,mg
1012100,429,Pine Lake (Hancock),Lincoln ,45.50068193,-89.43795782,seepage,0.775,3.15,mg
1586600,492,Spider Lake,Oneida ,45.76074429,-89.44255567,drainage,1,3.375,mg
967400,368,Aldridge Lake,Oneida ,45.86595106,-89.30128337,drainage,1.7,4.5,mg
2700200,914,Mulligan Lake,Douglas ,46.20829956,-91.69405718,drainage,1.75,4.66,mg
1610800,510,Fourmile Lake,Oneida ,45.84695464,-89.08133346,drainage,2,4.687,mg
1467100,455,Wood Lake,Taylor ,45.33578034,-90.07884525,drainage,1.5,4.9,mg
2832400,978,Wanoka Lake,Bayfield ,46.54520576,-91.28186253,seepage,1.99,4.91,mg
1019500,437,Squash Lake,Oneida ,45.59675451,-89.5489099,seepage,1.745,5.2,mg
1595800,501,North Nokomis Lake,Oneida ,45.85198486,-89.45147016,drainage,1.5,5.2,mg
1875100,578,Plummer Lake,Vilas ,45.96932904,-89.77572483,seepage,1.5,5.2,mg
1013800,431,Razorback Lake,Vilas ,46.01932907,-89.51993905,seepage,1.7,5.3,mg
2338800,690,Big Crooked Lake,Vilas,46.13050525,-89.6815409,drainage,1.21,5.413333333,mg
1574300,489,Jennie Webber Lake,Oneida ,45.73990101,-89.331067,drainage,2.15,5.45,mg
1598000,504,Chain Lake,Oneida ,45.84292338,-89.36733546,drainage,2.07,5.465,mg
1586800,493,Tom Doyle Lake,Oneida ,45.76406972,-89.49330015,drainage,2,5.6,mg
1612900,511,Dog Lake,Oneida ,45.77782549,-89.10975111,drainage,2.6,5.7,mg
1573800,488,Moen Lake,Oneida ,45.66358616,-89.31334341,drainage,2.1,5.833,mg
983600,390,Erickson Lake,Vilas ,45.94739461,-89.62254798,drainage,1.9,5.9,mg
1835300,534,Big Muskellunge Lake,Vilas ,46.01738401,-89.61489839,drainage,1.015,6.11,mg
1835300,533,Big Muskellunge Lake,Vilas,46.008472,-89.629379,drainage,1.015,6.11,mg
2462200,746,East Eightmile Lake,Bayfield,46.41605547,-91.4624126,seepage,1.672580645,6.113978495,mg
2312500,667,Grant Lake,Iron ,46.1125212,-90.07718756,drainage,1.68,6.26,mg
2328400,1034,Hiawatha Lake,Vilas,46.1889,-89.83001,drained,1.785,6.305,mg
2328400,1033,Hiawatha Lake,Vilas,46.1889,-89.83001,drained,1.785,6.305,mg
2321600,676,Little Trout Lake,Vilas ,46.06515096,-89.85272076,drainage,1.53,6.370714286,mg
2867300,985,Gander Lake,Douglas ,46.45432342,-91.72953547,drainage,1.66,6.51,mg
1600200,506,Eagle Lake,Vilas ,45.93223028,-89.20819772,drainage,2.8,6.5425,mg
1538600,475,Blue Lake,Oneida ,45.8392523,-89.75804553,seepage,2.6,6.8,mg
1595600,500,Muskellunge Lake,Oneida ,45.79986859,-89.47954923,drainage,2.2,6.9,mg
1595600,499,Muskellunge Lake,Oneida,45.80245325,-89.4784717,drainage,2.2,6.9,mg
1599900,505,Duck Lake,Vilas ,45.94547753,-89.23667114,drainage,2.76,6.9,mg
1526600,471,McCormick Lake,Oneida ,45.73459819,-89.77246353,drainage,2.1,7,mg
995200,407,Laura Lake,Vilas ,46.05704884,-89.43813932,seepage,2.3,7.175,mg
2109800,623,Hemlock Lake,Barron,45.5724584,-91.5604423,drainage,2.833333333,7.366666667,mg
1517200,464,Manson Lake,Oneida ,45.56250825,-89.63293138,drainage,2.9,7.5,mg
1575700,490,Stella Lake,Oneida ,45.71382366,-89.19420922,drainage,2.7,7.5,mg
2734200,945,Jackson Lake,Bayfield,46.2485639,-91.1151876,drainage,2.4,7.65,mg
1596300,1021,Little Saint Germain Lake,Vilas,45.9077301,-89.4734734,drainage,2.69,7.92,mg
2762200,966,Forest Lake,Vilas ,46.14890904,-89.37624672,seepage,2.3,8,mg
2898400,988,Star Lake,Bayfield ,46.38973998,-91.22509567,drainage,2.61,8.06,mg
396500,194,Lucerne Lake,Forest ,45.52688467,-88.84646486,drainage,4,8.08,mg
396500,193,Lake Lucerne,Forest,45.5313529,-88.8562236,drainage,4,8.08,mg
2949200,1003,Pine Lake,Iron ,46.26099744,-90.13938129,drainage,2.27,8.21,mg
1596600,502,Muskellunge Lake,Vilas,45.9516192,-89.3901379,drainage,3.03,8.23,mg
1587600,494,McNaughton Lake,Oneida ,45.74701099,-89.58574679,drainage,2.9025,8.274,mg
2322800,678,Crawling Stone Lake,Vilas ,45.9382081,-89.88381562,drainage,2,8.4,mg
1564400,486,Squaw Lake,Lincoln ,45.53380247,-89.48284712,drainage,2.8,8.5,mg
2393500,705,Sissabagama Lake,Sawyer,45.78995417,-91.5101656,drainage,2.665384615,8.665384615,mg
1517900,465,Hancock Lake - Staff Gauge on Dam,Oneida ,45.608288,-89.639404,drainage,3.3,8.7,mg
1619100,513,Boot Lake,Vilas ,45.96863059,-89.32587265,drainage,2.7,8.9,mg
2143900,626,Mead Lake,Clark,44.78885126,-90.7473651,drainage,4.033333333,9.088888889,mg
2953100,1006,Horsehead Lake,Vilas ,46.23329645,-89.71537482,drainage,2.66,9.205,mg
2953100,1007,Horsehead Lake,Vilas,46.23329645,-89.71537482,drainage,2.66,9.205,mg
692400,267,Butternut Lake,Forest ,45.91193,-88.99052,drainage,3.525,9.225,mg
2323000,679,Fence Lake,Vilas ,45.95086531,-89.83940914,drainage,2.3,9.5,mg
1593100,498,Star Lake,Vilas,46.01800688,-89.4731976,drainage,2.9,9.7,mg
1631900,517,Lac Vieux Desert,Vilas,46.1216185,-89.1520804,drainage,3,9.8,mg
2339100,691,White Sand Lake,Vilas,46.09272789,-89.6112598,drainage,2.5375,9.843333334,mg
2339100,692,White Sand Lake,Vilas ,46.08872611,-89.59413378,drainage,2.5375,9.843333334,mg
2311100,1029,Birch Lake,Vilas,46.21112,-89.83675,drainage,2.5,9.9,mg
181800,96,Bass Lake,Menominee,44.8708212,-88.5009369,seepage,4.466666667,10,mg
1591100,496,Big Saint Germain Lake,Vilas,45.9193965,-89.5320868,drainage,2.825,10.025,mg
2688800,903,McGraw Lake,Burnett ,46.15320224,-92.17269108,drainage,3.691,10.04,mg
2334300,687,Little Star Lake,Vilas ,46.11529777,-89.86147408,drainage,2.4,10.17,mg
1564600,487,Hitts Lake,Lincoln ,45.5262668,-89.47026018,drainage,3.3,10.65,mg
2958500,1012,Harris Lake,Vilas ,46.2607033,-89.83411975,drainage,2.45,10.75,mg
1881900,584,Sparkling Lake,Vilas,46.006239,-89.695876,seepage,2.85,10.87,mg
2732600,942,Namekagon Lake,Bayfield,46.20773095,-91.078797,drainage,3.4,11,mg
2960600,1016,Beaver Lake,Vilas ,46.20619661,-89.58922355,drainage,2.933,11.158,mg
1295800,451,Blass Lake,Sauk,43.5958133,-89.8067914,drainage,6,11.25,mg
2332400,686,Allequash Lake,Vilas,46.033973,-89.630228,drainage,2.95,11.265,mg
1523600,469,Bearskin Lake,Oneida ,45.73209757,-89.68252766,drainage,3.67,11.29,mg
2331600,685,Trout Lake,Vilas ,46.04136799,-89.67127305,drainage,2.8,11.3,mg
2331600,684,Trout Lake,Vilas,46.012891,-89.671613,drainage,2.8,11.3,mg
1539600,477,Shishebogama Lake,Oneida ,45.89761334,-89.82030337,drainage,2.9,11.35,mg
1542700,481,Tomahawk Lake,Oneida ,45.82344452,-89.65560572,drainage,3.49,11.45,mg
2735500,949,Garden Lake,Bayfield,46.2066198,-91.0590749,drainage,3.5,11.5,mg
2865000,981,Lake Nebagamon,Douglas,46.51466326,-91.6849116,drainage,3.875,11.6,mg
377900,184,Jungle Lake,Forest ,45.45489343,-88.8333267,drainage,5.64,11.72,mg
1540400,478,Little Spider Lake,Vilas ,45.97115597,-89.70842504,drainage,3.604444444,11.81888889,mg
1542400,480,Minocqua Lake,Oneida,45.87050856,-89.6912578,drainage,3.2,11.9,mg
2676800,895,Big Sand Lake,Burnett,45.81939075,-92.2279676,drainage,3.4,12,mg
2962900,1017,Palmer Lake,Vilas,46.2093934,-89.5054252,drainage,3.1,12.1,mg
2962900,1018,Palmer Lake,Vilas ,46.19967703,-89.49964749,drainage,3.1,12.1,mg
1538900,476,Mercer Lake,Oneida ,45.86861755,-89.81136606,drainage,3.3,12.2,mg
1523800,470,Birch Lake,Oneida ,45.72890992,-89.66040881,drainage,3.7,12.3,mg
2945500,1002,Island Lake,Iron ,46.26428987,-90.30286025,drainage,3.061666667,12.50166667,mg
1542300,479,Kawaguesaga Lake,Oneida,45.868842,-89.73292579,drainage,3.6,13,mg
1538000,474,Haskell Lake,Vilas ,45.90784712,-89.91724778,drainage,3.6,13.1,mg
2722800,937,Chippanazie Lake,Washburn ,46.03951984,-91.55969022,drainage,4.5,13.9,mg
1545300,482,Little Arbor Vitae Lake,Vilas,45.91272998,-89.6176451,drainage,3.929166667,14.75833334,mg
1537800,473,Booth Lake,Oneida ,45.88934119,-89.91477193,drainage,4,15.3,mg
2960000,1013,Dunn Lake,Vilas ,46.2118068,-89.56886809,drainage,3.5,15.4,mg
2956500,1042,Presque Isle Lake,Vilas,46.22252696,-89.78006788,drainage,4.055,16.16,mg
2956500,1011,Presque Isle Lake,Vilas ,46.22252696,-89.78006788,drainage,4.055,16.16,mg
2313100,668,Little Pike Lake,Iron ,46.15457957,-90.08947201,seepage,3.88,16.2,mg
2105100,616,Bear Lake,Barron,45.6316194,-91.819339,drainage,5.725,16.75,mg
2956800,1035,Van Vliet Lake,Vilas,46.19226,-89.75479,drainage,4.3,17.2,mg
5575273,1026,"COYLE POND AT STAFF GAGE NEAR CROSS PLAINS, WI",Dane,43.05694026,-89.6045664,seepage,8.84,17.6,mg
2963800,1019,Big Lake,Vilas,46.21022679,-89.4337564,drainage,4.3,17.76,mg
2109600,622,Red Cedar Lake,Barron,45.58856857,-91.5904432,drainage,5.7,18,mg
197600,136,Round Lake,Menominee,44.8910962,-88.5639929,seepage,8.1375,18.875,mg
2706300,917,Lower McKenzie Lake,Washburn,45.98383278,-92.0221278,drainage,5.35,19,mg
2112800,624,Balsam Lake,Washburn,45.6519004,-91.5829431,drainage,6.6,20,mg
501700,230,King Lake,Forest,45.42107657,-88.427888,seepage,8.1,21,mg
2620600,847,Balsam Lake,Polk,45.4649577,-92.3954736,drainage,7.625,21.25,mg
182100,99,Hills Lake,Waushara,44.15081177,-89.1578946,seepage,12.63636364,22.54545455,mg
652200,259,Bass Lake,Florence ,45.77842727,-88.33493294,drainage,10.59,23.2,mg
2685200,902,Spooner Lake,Washburn,45.82911498,-91.8110077,drainage,6.2,23.6,mg
454200,219,Moshawquit Lake,Menominee,44.8977655,-88.4995483,drainage,11.5,23.625,mg
2627400,854,Big Round Lake,Polk,45.51051125,-92.3018585,drainage,8.63,23.73,mg
8900,3,Forest Lake,Fond Du Lac,43.6088845,-88.1673186,seepage,14.6875,25.7125,mg
341000,181,Pywaosit Lake,Menominee,44.8949867,-88.5242706,drainage,14.16666667,26,mg
2336800,689,Wildcat Lake,Vilas ,46.17292317,-89.61695315,drainage,6.05,26.28,mg
2336800,1045,Wildcat Lake,Vilas,46.17292317,-89.61695315,drainage,6.05,26.28,mg
1670030,521,"WAZEE LAKE AT DEEP HOLE NEAR BLACK RIVER FALLS, WI",Jackson,44.2861111,-90.7144444,seepage,9.4,27.7,mg
340900,180,Sapokesick Lake,Menominee,44.8999863,-88.5337151,drainage,13.5,29,mg
339900,178,Skice Lake,Menominee,44.8916501,-88.603993,drainage,18,31.5,mg
740400,279,Booth Lake,Walworth,42.80001387,-88.4300969,seepage,18.33333333,31.5,mg
340500,179,Blacksmith Lake,Menominee,44.90026287,-88.5626041,drainage,16.125,31.625,mg
525900,238,Lake Noquebay,Marinette,45.25303089,-87.9192741,drainage,13.75,32.16666667,mg
117000,69,Twin Lakes,Marquette,43.9105303,-89.5898459,seepage,19.1,33.7,mg
758300,302,Geneva Lake,Walworth,42.5580723,-88.5426,drainage,33,33.83333333,mg
753800,297,Potter Lake,Walworth,42.8180699,-88.3445386,drainage,21.705,34.78,mg
25100,5,Little Cedar Lake,Washington,43.3802787,-88.2292614,drainage,32.09285714,36.10714286,mg
744200,293,Powers Lake,Kenosha,42.5461291,-88.2995367,drainage,31.58378378,36.46756757,mg
779800,324,Silver Lake,Waukesha,43.07667407,-88.492599,seepage,33.4,36.7,mg
164300,88,Lake Montello,Marquette,43.79664548,-89.3328972,drainage,19,37,mg
339600,177,La Motte Lake,Menominee,44.8847057,-88.60343739,drainage,17.375,37,mg
743000,290,Lake Mary,Kenosha,42.5244628,-88.253424,drainage,38.33333333,38,mg
742800,289,Elizabeth Lake,Kenosha,42.51418508,-88.2648133,drainage,35.16666667,38.5,mg
246500,148,Lake Morris,Waushara,44.11497815,-89.2015066,drainage,20.58333333,38.83333333,mg
755800,300,Green Lake,Walworth,42.78112379,-88.5709345,drainage,33.33333333,39.83333333,mg
761300,306,Lake Denoon,Waukesha,42.84557107,-88.1675892,drainage,26.69230769,41.15384615,mg
760900,304,Waubeesee Lake,Racine,42.81584936,-88.1709223,drainage,26.5625,44.625,mg
743900,292,Benedict Lake,Kenosha,42.5336292,-88.3023145,drainage,36.66666667,45.66666667,mg
36200,9,Silver Lake (Paradise Valley),Washington,43.38944519,-88.2139834,drainage,35.92,46,mg
848800,352,Lac La Belle,Waukesha,43.1186172,-88.50398819,drainage,32.02222222,46.37777778,mg
849400,353,Fowler Lake,Waukesha,43.11472857,-88.4962102,drainage,33.72727273,47.54545455,mg
761100,305,Long Lake,Racine,42.8269602,-88.1762003,drainage,26.5625,48.1875,mg
849600,354,Oconomowoc Lake,Waukesha,43.09750715,-88.4598204,drainage,33.30930233,48.43023256,mg
768600,312,Eagle Spring Lake,Waukesha,42.85084617,-88.4375972,drainage,26.78947368,48.73684211,mg
755700,299,Middle Lake,Walworth,42.7725129,-88.5653788,drainage,34.64615385,49.36153846,mg
763200,310,Bass Bay Lake,Waukesha,42.89557064,-88.11703279,drainage,29.4875,50.075,mg
60800,19,Wolf Lake,Fond Du Lac,43.86443659,-88.2087116,drainage,36.125,50.8125,mg
738400,278,Hooker Lake,Kenosha,42.559741,-88.1009184,drainage,30.25,51,mg
762700,309,Little Muskego Lake,Waukesha,42.90695908,-88.1431447,drainage,32.83703704,51.61851852,mg
180300,93,Park Lake,Columbia,43.5405385,-89.2987285,drainage,29.6,52,mg
850300,356,Okauchee Lake,Waukesha,43.11167377,-88.4234307,drainage,33.2625,53.16,mg
859900,363,Sinissippi Lake (Hustisford),Dodge,43.35360866,-88.6031572,drainage,30.66666667,56.33333333,mg
827100,344,Upper Nemahbin Lake,Waukesha,43.05945289,-88.4317641,drainage,36.7,56.8,mg
743800,291,Tombeau Lake,Walworth,42.5311292,-88.3084259,drainage,34.66666667,57.33333333,mg
